rho_train,dataset_seed,component,content_sha256
0.9,5,ood_0.3,f5c0f7e6efb0cd8ccfc4809286f7b70e5cb1d07fdc75e795e25d18d99b9b5051
0.9,5,probe,ab61722dfd07bf7d7137e2342fd4f217c8bfef23818d4e2ca7e0f48a45b198dd
0.9,6,train,1941fa9aef10a681936332099d54ae8f1029abd6735e179ccef6113243d8db05
0.9,6,validation,4014b39657b979515586cf26512d64aca9b31e79b1c53a95d2083ee02fe5ab2c
0.9,6,iid_test,414a17da72ba111c0e1020e8a09418e7804de90fc42e951e3cc5f578290fdeb3
0.9,6,ood_-0.9,7fc9a4d8bf7331215f7b787a1e046e7bb091e9376b250b34420d5c9877fa0d4c
0.9,6,ood_-0.6,6d3fa070055bc46687a1228c09f937ed11e75fe24f1cb4a38e4728d9f25540bb
0.9,6,ood_-0.3,bc0c89a698af8026cd6ff11117dc57dc0022b13421dc98d2cea0e44f33500167
0.9,6,ood_0,869163473155464b875da7a581023f07650ef9d957c8c789ea9c79772c840d4a
0.9,6,ood_0.3,738b8db98b654fb7c54ad21a892bdbb2016ae2bf355472480ec9ecb0c6cab0e8
0.9,6,probe,eb3c7da4fd5e4ffa4dca9dcf8337bf9692e204cb7c63dbd9e42bba9f38da1ccb
0.9,7,train,6c7871885460d3b3f8e5475fa7b808ffadd9abdd4548331d335953e92d3a455b
0.9,7,validation,e0f38f3a2dbff2957d772ec9279432e29c6f3d5a68be7277454d6e82d6d5d12f
0.9,7,iid_test,a6b8ee6f0406cb9db1b14fa0bf74c4bf1f4827a8d4efaadd3c843fc4974da589
0.9,7,ood_-0.9,b1818d3b6c7b9fd6022d502b1b287c5f35a104774913f1dac519ca85e85dd7a8
0.9,7,ood_-0.6,08657168c74aa25ddb7f1ce095d48a29ca3a03df7a2e2ec0bfab84518480bcfe
0.9,7,ood_-0.3,74520d040d640a348cef99757c3df2c033c05247539ada91c3feb20cd91cb378
0.9,7,ood_0,27431ac1d557b3b32e9e7c206db3015c341146dbb3cf5670a09964460c05ff53
0.9,7,ood_0.3,3638483b059838803c928d2c961782a3006d7af84ab3086cba5bd67046fdf386
0.9,7,probe,987176983a376f9394e299aef2a8e2818d8c6f7720a21d4843c856a6766ed1ab
0.9,8,train,27763caa5b116cc0011d9ad09e7b60c36e76611292f65b43c451e859e9265e6b
0.9,8,validation,3e976206cb49db8fc842f501a6265d106d140729fa447e1facf9f094c617b45f
0.9,8,iid_test,4a5db958eb019e3a23854a0472718bb3c7dfe920130fd0467341aeaf3d3c5d05
0.9,8,ood_-0.9,c956b3cfaa0fcae9f56c639737f366f4811aa68c51254e9eab81af6dc986642f
0.9,8,ood_-0.6,efa96de80348da35edb2bfe654934a4da29ecd5abb9ddbe7941bf3cfcaa8d7bc
0.9,8,ood_-0.3,83e7bd716d28af1e0d8b7d51dd5d8eea29ab18a057f3a8425dc53e87a4138704
0.9,8,ood_0,a67568c291df19590c3b55bd7a4f53a4aa3e898e867fc31a3f3ffaa6b1854e9b
0.9,8,ood_0.3,c3946ed384bfa26a26337c3014d40220a7c03b3d3174f83c383612c1a0a96955
0.9,8,probe,bd5ce773bdaa1a4ca551adb65778ff857d0d764d67d90e6df5c3bcec5f7ab60b
0.9,9,train,69a7fe06081e6743a8e612af01e867af6d5f3410df37c875e2101855ee817235
0.9,9,validation,3d47289de474d450e64752fe17345f7ded55ef7d1ce451b55924842cc1d269bb
0.9,9,iid_test,c6fe266c5ae75102db26f9c8b30ef54a3c7704b153a7fa343d4e8c099bfe1032
0.9,9,ood_-0.9,3b7310962f32c54f9aa83a7cba2d52540459f81d46facf0f88d2895f49134949
0.9,9,ood_-0.6,0aee1ba4e0d13844a89ed2f86d318821ce34d9893b07c01c53c096a87e908531
0.9,9,ood_-0.3,e0f2c7b2ac33f73ad9cb0a0890dda821a34eb65ca315814d793823b1796b7d4e
0.9,9,ood_0,fc8a86c9179ffd943fff590ec3a4fcf73026310148b7497622bbaae144c9884f
0.9,9,ood_0.3,9d12eb12a0df781adbe0e1fec0f33e53dd11e694da2807721dd6adf94da4c458
0.9,9,probe,d921960591257fc289cdf8b1319677aef6fd686db01ca82eb31615bc7375463a
0.9,10,train,75348b0027cbe5230eaa41cee2ed58a598db7f8e13fe11e351e5ac95183743ea
0.9,10,validation,75d1fcffcc5e95846510353ce8e37e639fd333978465fffaea8d1fd33a9971c8
0.9,10,iid_test,d074e5459ed1ff308a35c6775e6d08e15566eb401f4ec2216d513b66c7be7f62
0.9,10,ood_-0.9,906798261628b335a2b405e87ff391128a19039cf1ef8f7135a7b03acdd7162b
0.9,10,ood_-0.6,382a235c1cd104c1aac11c00e7626b7582d5c806c072acdbd181722cc79537ff
0.9,10,ood_-0.3,9e6bc127d02026a20b14c7b23e225039701e705adec5d054c0cb25ed00b24ed0
0.9,10,ood_0,1bf91d06f51a1bf36c2d14a4b08d2efcbc79644d118945ac0cacf061c76ea9da
0.9,10,ood_0.3,2c4258e7b62d7a0e0d1b411ae4d69d0cb5a6ef492a620daa55fbf8b4a5be3f8d
0.9,10,probe,e70abb0f7da0516d1871c1d82e1594c4cfae88af4ec3d93db64c7772d881821f
0.9,11,train,5db786adf9e60ea0f773fbb76db8fb8496462df66a4ad5b39f76818a3d2a3424
0.9,11,validation,58bf15cc1695b09f3032cb8666cfaa502883c11ee095a63825b07cd5567e59fe
0.9,11,iid_test,c480fdf5e0d74703cc4f49727e5a46b49e1c3468cc7c626c27224829af955a94
0.9,11,ood_-0.9,8216ec1e170f1211d750c3c5c7d3508b617d7abac03fd2ccf25404a479b6d469
0.9,11,ood_-0.6,62e6c6e3d6f93288f21fe1cafc789fc038b63be2421b68610a8803a307458d83
0.9,11,ood_-0.3,488dd84dd68d6dc78715163ffdb8f09c110b2e9ad24bb03db4ed1bc10434b65b
0.9,11,ood_0,deb853fc42a8fdca0e8a9a9f28a90ffdf9fbb7c591a6562a381554dda9b66ceb
0.9,11,ood_0.3,c245996e8fdece67325de7e0746f1a688cbaef59623c86f19433629e4c5fb65e
0.9,11,probe,61608f476909b74220f5ff314c1833985cfe4ade1fb73d4e0396aee92f74fcf4
0.9,12,train,dd9d67e3a202328ab76c7320ffcc3947a5c314efc27a1d7c7a5638f822e9a636
0.9,12,validation,a411a34f2be9ef346b40b330bd0e6d1312f9e11d5b107cc5b38bea096aece7af
0.9,12,iid_test,21b0a17e3135620d46dfcb62fe67d5b58906e75722b770d0d511289105276aed
0.9,12,ood_-0.9,e06d41c31369eb354808c48f351709416d764aaef148756439a893af021d04f5
0.9,12,ood_-0.6,548ef15a39459d55a90d21b717371843d287bf33487e1e1d946eecccd6d6bccb
0.9,12,ood_-0.3,2467b61f94040d6fee3589d5d3be2f975d0f1082acbacb57dacd10ff472e0cf5
0.9,12,ood_0,ce39b0522b9dc3957593faf80630e22d8ca97f3158eb468720332a468c7d4a8a
0.9,12,ood_0.3,5899e4c2e97e5324fe582b98a22bd54a97fd1c3dd4b625f22488d9a0ad4f3819
0.9,12,probe,2bf4de18356265edf04a556f2021211529be553bb01025c04ec06230cbf2c19a
0.9,13,train,e4acc767f32564944f35130564ec15fa54c7835dd3001f91b8135b2834befb38
0.9,13,validation,ea6f39a3cb58bf2434f593a1d65072fffc795f87838b00e8effe8a5a939167cc
0.9,13,iid_test,c5a3b251d022d940a716b54374d2633473e91f816a3c4fba2cce3f20a81f6c73
0.9,13,ood_-0.9,a2ddc7e7c4743a207ac4fcbd80996679fd36d0f5096b0765b45f84543d153f14
0.9,13,ood_-0.6,fd4de1954ea4950ce68a7e8033a07a8dc27a8c11bf156579c6f042b735f30d5c
0.9,13,ood_-0.3,2a0ffa9b41e3728966750abb05bb64a77d443df7e74976c2a8361ba8cfc90a4d
0.9,13,ood_0,c2d620bdac1992f32bf253ce6c4bc22d683f28673cef7bb39fb32ccc8f223f05
0.9,13,ood_0.3,af7dd00a87bf7a5015c5293b7b7a23ff3e788743d05192dc66d089eaa3dc9703
0.9,13,probe,90fcd5216724ecc7f57511e54e8f664fac7e6a8bdb0c79172678de6e2a7b2791
0.9,14,train,55f7209ea0039015645394e90878ada975d56c10d7c74a631cd9813b30bbb7d6
0.9,14,validation,c928875fc73be08b5132edf6f9bdcaade1bb2479a6559d7924e37296e5907a4f
0.9,14,iid_test,042ebc20894c58000660189e74d85d19a93dc3eff0f41a0b2047e295b49fa9f2
0.9,14,ood_-0.9,0a2fc935bdd2e8ef2b753188e40f2a67f394128b016940631ae73193f46099f3
0.9,14,ood_-0.6,8dae49b56d0a2dfcc5463a657ccd5df1e64c5b2c38331189bc2b5838592da45c
0.9,14,ood_-0.3,cc3a1461cdf671a45783c9a78775d82b20c5f4eb27ca711c130dd8304529aa4a
0.9,14,ood_0,03be804d922fa0504a3511b416057a8b1f3fa027eeef98d173a925ed89570679
0.9,14,ood_0.3,53c65914ed10d6cfca2e26d17354094d2cfa0e1ce09288170f681422eeb1e0c9
0.9,14,probe,d089c1d32fb1a2e80759149c693c779d6816e1a7c67c2a8043ea2a11b8a55c7c
0.9,15,train,bb542bc254894b9a7aa641f081c9ca2caf5a1c869576811add4ffbc0d564bdb6
0.9,15,validation,56ddd40d9fb1a9919140e31eaca0282caed36186982f820a47ce410d3b2fb27b
0.9,15,iid_test,b94743b3148b95d2d7de16f99937393b18f2ff1315bf55be1495cfafd29004da
0.9,15,ood_-0.9,c6b1726d94e2aac158d471ac52686d3e508b2ffe35a694e979f387c482406333
0.9,15,ood_-0.6,5370ea1c7e890d8b01a0d5bba217df653b0f2097712bb822f4e7827ceb3822d7
0.9,15,ood_-0.3,6c48027494c92f2c242f85ae119285bd90d5383103578cc5a548668113e0bc1c
0.9,15,ood_0,7dda0c3bb879f77b80551b9246264b2309cdbdf6ab5b15bee5c38038c84ba52e
0.9,15,ood_0.3,4aebd172dba86cccb51b5f850e069260c5150caeccba1a5ea0c70be97ccd00b6
0.9,15,probe,529eeadd46ac5bada52eee7a7e6877a2c65b0219ca1a1ff4ac5e3e715c0a052e
0.9,16,train,702c6ede476bd8604316aaef81e05259c5bf135e3c1d867036cb2ea158061a75
0.9,16,validation,0b440924be1e3d63fd1d71d1ebed216c53420c7eee947d408c8616f2fbc127fc
0.9,16,iid_test,e50d777f69e920f168f4a6cf06fbe2f2908bd2aadaba2ee0b435408e4da2eadd
0.9,16,ood_-0.9,10f6d99600d80c9b68965d3d1f1edeeeb468e42eab1f1dc12651ae0c16fcdcd2
0.9,16,ood_-0.6,f7fdcbd00d434a4d1c78b9a3089b3291c059f56cdbf99f6b5a1e186ef5c9caa5
0.9,16,ood_-0.3,11ae4f258f805c7823bc68de39b28dbfd6902daf85cc7ac2be53ecd92893dd36
0.9,16,ood_0,b6a8f39782629ec890d8ca67f3accba52cbdb271d3c90ec9da68a0f6bcb3609a
0.9,16,ood_0.3,c4b4ba9d0c32a62c09f010886c847c403850089ab2592dc548cdededc172c2d2
0.9,16,probe,19ad38de91e1a958bf1cb1bb0283752c425bcb0fbd5d55a0f17dfed540efcf17
0.9,17,train,e1403c04474cc8f667e0e42871dd31430390241364b322f0daf5b45d0ce3a126
0.9,17,validation,fa5049b3c5f92ada4cb904e358f778a568ca0739ed3bb2a0366534efae419447
0.9,17,iid_test,4121ea88c593055184c797397bb6e9c37aa7e676ef0b16eebdc569f2e7878245
0.9,17,ood_-0.9,bf04b9fca0c5b3efd17f4abd64cd517b21128158ee7c9cf845c62b3d7d1d240a
0.9,17,ood_-0.6,9f302ec01ee0345772ecdef4d4830120666d545561161f8c71ce99440f828535
0.9,17,ood_-0.3,1d1ced79c776805823eda3d8935633abb188dcbd69da7b4c80c1a6427a2811c7
0.9,17,ood_0,6311d6402f5c899b736dfcb20d14dcde4807cdd490d20e498c93fa91015540ba
0.9,17,ood_0.3,643c18bfd0d06d4e48e1e824ceb10f4280c9a0afdf5d0877f95ad3e1407a1a58
0.9,17,probe,173646d0d49e53ec3ce23df006ce5ca6ab442cf9e06d78e1d96381e908163c2f
0.9,18,train,205715a38a1775a8f731cd45366a583572783e69ad4e00a8d2412f669c81d25a
0.9,18,validation,6d82a9ef25073b012087cdc0de0aad7b44bd4a44df6b6e7f7e8bcb74a57117b9
0.9,18,iid_test,e7caa43754cbefc9057db38e1029edc8473b86927647a5d5471b525b2a4c8865
0.9,18,ood_-0.9,7bb59aeba96113599e25aa58fa1174f284aa87b271c1b65ccc10a4cef32f95cf
0.9,18,ood_-0.6,caeed9cc3aa04f9f8dcb5ffa6e1425765d566116923d4c5c26663ff1096ddd24
0.9,18,ood_-0.3,424cbe1fc08ac7d879b7eefc605f0ee5dab7889c35409804b6613714d514fbfe
0.9,18,ood_0,98a99394b08135751bd84c023be76dbf2698c3541c89fb355e952b3c00af1313
0.9,18,ood_0.3,a5d4f6957bc3798ab9bc0203083a1efb1dfc4abe5da4d0562ebe74b205ebf2fd
0.9,18,probe,4e8e018f931cb6e57af01f70edbc19aa9d1f00472ce7a69fc85708208ced3f96
0.9,19,train,20bb7e48c52debc46f2ab19baa193c3e95f11898c85ea2180e9ba0b41e07f069
0.9,19,validation,b7c25ae9184756ef1ea6f02d8f080327acf96800c14cd85a0fad7f193fddec2f
0.9,19,iid_test,2d9e15df02551c1cd584deef8d973df7c7b6b76b9a4725f0e08d90e98aa5a2ef
0.9,19,ood_-0.9,7a35872d812e82c69a1af932f9d051719a3c852197b94a2d2a4d10ea2ba5e51d
0.9,19,ood_-0.6,2d8b0552ad5c661167bbcba62a66ae4bba563f9817b6707731c19d0d2497ba19
0.9,19,ood_-0.3,8051003d786db2bbe2c0a8e9d3c99715166c070b6343924a18510cc943325d8f
0.9,19,ood_0,627b3bb5f7fe76e532d7b8f25b1deb2695f19e28b40169e2ffd66eb473b6e77a
0.9,19,ood_0.3,bf6baa3262f1fcd50f81c0b7c981eded72fa03277c6494e57185fc4cc7f482e7
0.9,19,probe,420cc53b2c02d6fd701249ae6f0e7d53719d17b67c1b89abc0b7a7808f787593
0.0,0,train,64e28f124ec098966da213fafd09db25ba9b41ebf3a9f92df25f46b62765ada6
0.0,0,validation,8cdee98ce9b7f7936dff418492f7f54ee7256fb7df62fba9b251b5fa51f657e0
0.0,0,iid_test,789cac9020e4d5ebf9a3ddcdee3ea4f07d0f19e7b44549509562ea6e7ae3da0b
0.0,0,ood_-0.9,b4cfb6dc776b49a5f7fb5a4cc80dd7dbb587429e8f3d4a68f0e5454a64f7e706
0.0,0,ood_-0.6,3aa06cea5c9b0869903b51988fe06c49b4e1d42adcaeadc01ad5c5238dff235a
0.0,0,ood_-0.3,13830fd525f34ed3aedb783b8488246c186b9fe2a7ddce7c37ae2686ce2a1379
0.0,0,ood_0.3,cba6f03dfa4f6fb823054db2f4344c6c23900265e35d9fde6cd13663650f64c5
0.0,0,probe,3efc63c2e8d9a0eb20c87c1c64f3707ae85780da51a7e53479c08195bc7cbac4
0.0,1,train,a0a8a79ab5963be9ee8bfdef426fb44079c5e375a16723444ead20aa9bca18c1
0.0,1,validation,8f4820e2243f98945557eef35a75b50ed53787e01284afd424dc1156409f3536
0.0,1,iid_test,420e664a123db0e34cf4ceaea0394de2e86cd6df039538fee76f5b4978a1befe
0.0,1,ood_-0.9,69da74afb44eeea8fd1f60553f58fdb4dd164399baa4aac4dd052252c2d8642f
0.0,1,ood_-0.6,66b686d4cb9fd0ea3cc7d5016e82f21bf812c8eb90d2bfc99dff6d423458e3e4
0.0,1,ood_-0.3,d3ce32cd457b8e0847093b359b080256028c685015f364b7f1b5ae919ecad583
0.0,1,ood_0.3,8eade92dc13b0bb4ac3dc575802b0a847351e79cbb1584c463b4804ed648c066
0.0,1,probe,d06eeecb8d769face6d3bc8cfdec984cb547e2378e71b2e2fb86e3543e20293d
0.0,2,train,595d3a2d419a7ed1bf8680251d1c823a97b9a239922c26b83989959fb7828aaa
0.0,2,validation,272c881bbc5e12341f7f2205d98236450296ff7ebbb3da06584428c159db66bb
0.0,2,iid_test,d0ffabcb6fc1cd6574fc48567f4667f7e82e90ad968b6c7a29cea9061789606e
0.0,2,ood_-0.9,04bc7d6302d158674da62f1da71c84cd58303614bd00a2a4c30ec9b4043feddd
0.0,2,ood_-0.6,3641f29d70b415299abf7edb02b770724693c4de2cbd69e1be3464e790c74456
0.0,2,ood_-0.3,a4e8c8acd6ecd0879f6983d9684e086aff5b846fd0d144ef926ff5db96d2d77f
0.0,2,ood_0.3,1caa6db761779b93137f3f0f51649d09bc38e57581367469854358cdb8245519
0.0,2,probe,936192367695cef0e17cd9ac05d3b6f9191441e5694c32ccbafef78110995870
0.0,3,train,dd958574113edeef9a78680660be083364cf5256d2bce9a0ec286171696a772a
0.0,3,validation,7e7e63212a907f67e4f16bc233417b28d5c6c4c8d45abba7fc59054112ad0452
0.0,3,iid_test,4b591a66203ab58cd0de9125c420c5d06a29d778e27fc72ba1ee9543c3c49af3
0.0,3,ood_-0.9,79bf2b9a39d521fa431a09ab99fde57de449539be04a956badfd63438fe9f467
0.0,3,ood_-0.6,22f0691377401ffb499cecb3e341db4d03d31ad448aab8accc5880c842c7d1c7
0.0,3,ood_-0.3,77500e782c2ae972e3b6621b433d6bc11d932409b0c5ca6543f786beeb57fd58
0.0,3,ood_0.3,1bcc2af6a8ef24a1d7eec0eb90387bfaac9620bb034c1f8446fab10b51ca78ed
0.0,3,probe,f777b93ddfbc9729e5beca4707fcc606fe1b7585fb29a68462af8690fccfa5c3
0.0,4,train,eda2beefa808648d91c4cd2f879bc4dddc3bd0786e24ce8a171525c9d660ae6c
0.0,4,validation,c6679e97d66f20a8cfbaab5bd012ec6146b075ac743b0b96ab8859fc8d326dab
0.0,4,iid_test,054fdd456ce4452b23141babd18d10d9692029f8ad5b11d2007b9400865c1b20
0.0,4,ood_-0.9,a917e86449ba1df8370972f1bcdf32b77ab94cd261401c1f4fcb29becabe73bf
0.0,4,ood_-0.6,bddb5094cd8674ecc0008a7f2cc006063d799a099d5df547f0c6c5860f3f803c
0.0,4,ood_-0.3,ef3c5c302d0a828aa7af011627f57e21b33e6ca85a472aa599892cbcf4a2966c
0.0,4,ood_0.3,a761df29bbb7f3640272a0572dc9c4427ba4899106f9d9b736f2c4ca95159cb5
0.0,4,probe,86197a426e7aadc4f2299b7e1859c1beebca36581815cd18d035c237714e303c
0.0,5,train,9f65ec506fb79c3e777a7e026afe455cb43467f946f2e23c5eb4dd1a6181f5f7
0.0,5,validation,fe2958bfa00f91ae99ec4f19ce7a46da84125d335c0103de08550edf1533ab2a
0.0,5,iid_test,757eee2c416484d80ed25dc3e1f1b1838384497966a61365df9f5acd59b8b86e
0.0,5,ood_-0.9,81a77b595c7f76b5945644b4e44944284ec3cadcafed10706470b5113ccb99bb
0.0,5,ood_-0.6,fe39d3e4785abb5d2619509e7a8601c93124a07944a4e6574db9a18509239fca
0.0,5,ood_-0.3,6e0caac022fc42e3615334750018c2198a2764e38e7423a84a929296db0def0f
0.0,5,ood_0.3,f5c0f7e6efb0cd8ccfc4809286f7b70e5cb1d07fdc75e795e25d18d99b9b5051
0.0,5,probe,ab61722dfd07bf7d7137e2342fd4f217c8bfef23818d4e2ca7e0f48a45b198dd
0.0,6,train,dc06127ed855df9461c593ebc9d3aa8f7b9191a06460c67deb9a9a345d941363
0.0,6,validation,37a5136b470d07fd6de92166e62ef41e7053db9d50b996abfecb4dc892e6bdec
0.0,6,iid_test,5c046d6b5089e17bf7e4b57164b95ec1d18ee6e5598c16dd52ec4f147f07c4ba
0.0,6,ood_-0.9,7fc9a4d8bf7331215f7b787a1e046e7bb091e9376b250b34420d5c9877fa0d4c
0.0,6,ood_-0.6,6d3fa070055bc46687a1228c09f937ed11e75fe24f1cb4a38e4728d9f25540bb
0.0,6,ood_-0.3,bc0c89a698af8026cd6ff11117dc57dc0022b13421dc98d2cea0e44f33500167
0.0,6,ood_0.3,738b8db98b654fb7c54ad21a892bdbb2016ae2bf355472480ec9ecb0c6cab0e8
0.0,6,probe,eb3c7da4fd5e4ffa4dca9dcf8337bf9692e204cb7c63dbd9e42bba9f38da1ccb
0.0,7,train,64cd5a378b4f79dcfdb6e4e108360e7860b6f66d309eeb43ced0f93008e8a62e
0.0,7,validation,1bb0849b7ddc4b524b3c3bda1ec21a04930fedad31e1914367c6652deafdffd7
0.0,7,iid_test,c82495f9f4f0aeb3defdcf99fe54a08f42fe13a0aeecc30bcb90d331580b5965
0.0,7,ood_-0.9,b1818d3b6c7b9fd6022d502b1b287c5f35a104774913f1dac519ca85e85dd7a8
0.0,7,ood_-0.6,08657168c74aa25ddb7f1ce095d48a29ca3a03df7a2e2ec0bfab84518480bcfe
0.0,7,ood_-0.3,74520d040d640a348cef99757c3df2c033c05247539ada91c3feb20cd91cb378
0.0,7,ood_0.3,3638483b059838803c928d2c961782a3006d7af84ab3086cba5bd67046fdf386
0.0,7,probe,987176983a376f9394e299aef2a8e2818d8c6f7720a21d4843c856a6766ed1ab
0.0,8,train,ef482606d31295c361c0fb506be46a3fd646b74473740b4972af16881a300079
0.0,8,validation,a8d8ac4cae38162671ed8069129f33bbe5e57b2d9401871b8b4d5d1493c59496
0.0,8,iid_test,40943fa63ecd90822bbe8e926b31fb6c3b1bf5a99b7564ab3df9933a52e7b645
0.0,8,ood_-0.9,c956b3cfaa0fcae9f56c639737f366f4811aa68c51254e9eab81af6dc986642f
0.0,8,ood_-0.6,efa96de80348da35edb2bfe654934a4da29ecd5abb9ddbe7941bf3cfcaa8d7bc
0.0,8,ood_-0.3,83e7bd716d28af1e0d8b7d51dd5d8eea29ab18a057f3a8425dc53e87a4138704
0.0,8,ood_0.3,c3946ed384bfa26a26337c3014d40220a7c03b3d3174f83c383612c1a0a96955
0.0,8,probe,bd5ce773bdaa1a4ca551adb65778ff857d0d764d67d90e6df5c3bcec5f7ab60b
0.0,9,train,311fcec50a01b6bc041420405c66cd2d258d3f978f719a3a97ec2d59a12c394e
0.0,9,validation,10f11955cd399b2efc8881c3d145e297ee9c57bb46da455f1d86cd444c57a98e
0.0,9,iid_test,85699a4647276da3bb9e9cda2017c919d6cfe680b60dc33f00dde598ab374a0f
0.0,9,ood_-0.9,3b7310962f32c54f9aa83a7cba2d52540459f81d46facf0f88d2895f49134949
